text,created_at,thread_id_fallback,rules_text,model_text,_ts,_dow,_hour,_is_after_5,_is_fri_after_3,_is_weekend,_is_after_hours,DeliveryAfterHours,StatusChangeAfterHours,ReadyForReviewAfterHours,FridayEarlyCutoffDelivery,WeekendDelivery,ApologyRush,ReworkPhrase,ResubmissionPhrase,MissedRequirementPhrase,NotRightFirstTime
Container registry timed out for the fourth time.,2025-11-16T06:18:33.908741Z,NA,container registry timed out for the fourth time,contain registri time out for the fourth time,2025-11-16 01:18:33.908741-05:00,6,1,False,False,True,True,0,0,0,0,0,0,0,0,0,0
the whole system is throwing tantrums,2025-11-03T12:19:01.908741Z,NA,the whole system is throwing tantrums,the whole system is throw tantrum,2025-11-03 07:19:01.908741-05:00,0,7,False,False,False,False,0,0,0,0,0,0,0,0,0,0
Bootstrap process missing the credentials file.,2025-11-20T18:55:29.908741Z,NA,bootstrap process missing the credentials file,bootstrap process miss the credenti file,2025-11-20 13:55:29.908741-05:00,3,13,False,False,False,False,0,0,0,0,0,0,0,0,0,0
Container registry timed out for the fourth time.,2025-11-12T04:35:30.908741Z,NA,container registry timed out for the fourth time,contain registri time out for the fourth time,2025-11-11 23:35:30.908741-05:00,1,23,True,False,False,True,0,0,0,0,0,0,0,0,0,0
Terraform plan is returning unexpected diffs. — also I'm done pretending this cluster behaves normally,2025-11-03T10:18:05.908741Z,NA,terraform plan is returning unexpected diffs also i m done pretending this cluster behaves normally,terraform plan is return unexpect diff also i m done pretend thi cluster behav normal,2025-11-03 05:18:05.908741-05:00,0,5,False,False,False,False,0,0,0,0,0,0,0,0,0,0
why the hell does this stage keep failing,2025-10-31T05:35:20.908741Z,NA,why the hell does this stage keep failing,whi the hell doe thi stage keep fail,2025-10-31 01:35:20.908741-04:00,4,1,False,False,False,False,0,0,0,0,0,0,0,0,0,0
Installer script can't locate the dependency bundle.,2025-11-25T01:45:40.908741Z,NA,installer script can t locate the dependency bundle,instal script ca nt locat the depend bundl,2025-11-24 20:45:40.908741-05:00,0,20,True,False,False,True,0,0,0,0,0,0,0,0,0,0
Package checksum mismatch on remote node.,2025-11-09T13:52:57.908741Z,NA,package checksum mismatch on remote node,packag checksum mismatch on remot node,2025-11-09 08:52:57.908741-05:00,6,8,False,False,True,True,0,0,0,0,0,0,0,0,0,0
the artifact repo is acting like a diva,2025-10-27T00:21:36.908741Z,NA,the artifact repo is acting like a diva,the artifact repo is act like a diva,2025-10-26 20:21:36.908741-04:00,6,20,True,False,True,True,0,0,0,0,0,0,0,0,0,0
CI runner is stuck in queued state again.,2025-11-27T00:46:12.908741Z,NA,ci runner is stuck in queued state again,ci runner is stuck in queu state again,2025-11-26 19:46:12.908741-05:00,2,19,True,False,False,True,0,0,0,0,0,0,0,0,0,0
Package checksum mismatch on remote node.,2025-12-06T09:24:08.908741Z,NA,package checksum mismatch on remote node,packag checksum mismatch on remot node,2025-12-06 04:24:08.908741-05:00,5,4,False,False,True,True,0,0,0,0,0,0,0,0,0,0
Installer script can't locate the dependency bundle.,2025-11-19T11:33:47.908741Z,NA,installer script can t locate the dependency bundle,instal script ca nt locat the depend bundl,2025-11-19 06:33:47.908741-05:00,2,6,False,False,False,False,0,0,0,0,0,0,0,0,0,0
We have inconsistent checksum results in the artifact store.,2025-11-20T05:28:05.908741Z,NA,we have inconsistent checksum results in the artifact store,we have inconsist checksum result in the artifact store,2025-11-20 00:28:05.908741-05:00,3,0,False,False,False,False,0,0,0,0,0,0,0,0,0,0
"Node pool autoscale didn't kick in during rollout. Apologies, pushed a broken config.",2025-11-15T21:36:12.908741Z,NA,node pool autoscale didn t kick in during rollout apologies pushed a broken config,node pool autoscal did nt kick in dure rollout apolog push a broken config,2025-11-15 16:36:12.908741-05:00,5,16,False,False,True,True,0,0,0,0,0,0,0,0,0,0
The service mesh isn't applying the new routes.,2025-11-16T03:47:50.908741Z,NA,the service mesh isn t applying the new routes,the servic mesh is nt appli the new rout,2025-11-15 22:47:50.908741-05:00,5,22,True,False,True,True,0,0,0,0,0,0,0,0,0,0
why the hell does this stage keep failing,2025-10-27T14:03:58.908741Z,NA,why the hell does this stage keep failing,whi the hell doe thi stage keep fail,2025-10-27 10:03:58.908741-04:00,0,10,False,False,False,False,0,0,0,0,0,0,0,0,0,0
the artifact repo is acting like a diva,2025-10-31T11:25:11.908741Z,NA,the artifact repo is acting like a diva,the artifact repo is act like a diva,2025-10-31 07:25:11.908741-04:00,4,7,False,False,False,False,0,0,0,0,0,0,0,0,0,0
Adding more debug output to the pipeline steps.,2025-11-16T14:54:41.908741Z,NA,adding more debug output to the pipeline steps,ad more debug output to the pipelin step,2025-11-16 09:54:41.908741-05:00,6,9,False,False,True,True,0,0,0,0,0,0,0,0,0,0
Terraform plan is returning unexpected diffs.,2025-11-18T23:30:05.908741Z,NA,terraform plan is returning unexpected diffs,terraform plan is return unexpect diff,2025-11-18 18:30:05.908741-05:00,1,18,True,False,False,True,0,0,0,0,0,0,0,0,0,0
Reverting the last merge until we stabilize.,2025-11-20T03:56:04.908741Z,NA,reverting the last merge until we stabilize,revert the last merg until we stabil,2025-11-19 22:56:04.908741-05:00,2,22,True,False,False,True,0,0,0,0,0,0,0,0,0,0
why the hell does this stage keep failing,2025-11-09T09:48:07.908741Z,NA,why the hell does this stage keep failing,whi the hell doe thi stage keep fail,2025-11-09 04:48:07.908741-05:00,6,4,False,False,True,True,0,0,0,0,0,0,0,0,0,0
The Helm chart versioning is out of sync.,2025-11-23T16:29:47.908741Z,NA,the helm chart versioning is out of sync,the helm chart version is out of sync,2025-11-23 11:29:47.908741-05:00,6,11,False,False,True,True,0,0,0,0,0,0,0,0,0,0
Pre-flight validation failed due to missing env vars.,2025-11-21T13:06:23.908741Z,NA,pre flight validation failed due to missing env vars,preflight valid fail due to miss env var,2025-11-21 08:06:23.908741-05:00,4,8,False,False,False,False,0,0,0,0,0,0,0,0,0,0
the deployment script is drunk again,2025-11-01T03:49:37.908741Z,NA,the deployment script is drunk again,the deploy script is drunk again,2025-10-31 23:49:37.908741-04:00,4,23,True,True,False,True,0,0,0,0,0,0,0,0,0,0
We're seeing flaky integration tests again.,2025-12-05T03:09:11.908741Z,NA,we re seeing flaky integration tests again,we re see flaki integr test again,2025-12-04 22:09:11.908741-05:00,3,22,True,False,False,True,0,0,0,0,0,0,0,0,0,0
Switching runners to isolate the failure.,2025-11-17T09:03:03.908741Z,NA,switching runners to isolate the failure,switch runner to isol the failur,2025-11-17 04:03:03.908741-05:00,0,4,False,False,False,False,0,0,0,0,0,0,0,0,0,0
The service mesh isn't applying the new routes.,2025-12-01T03:22:18.908741Z,NA,the service mesh isn t applying the new routes,the servic mesh is nt appli the new rout,2025-11-30 22:22:18.908741-05:00,6,22,True,False,True,True,0,0,0,0,0,0,0,0,0,0
Package checksum mismatch on remote node.,2025-11-21T03:39:57.908741Z,NA,package checksum mismatch on remote node,packag checksum mismatch on remot node,2025-11-20 22:39:57.908741-05:00,3,22,True,False,False,True,0,0,0,0,0,0,0,0,0,0
the whole system is throwing tantrums,2025-11-08T06:45:59.908741Z,NA,the whole system is throwing tantrums,the whole system is throw tantrum,2025-11-08 01:45:59.908741-05:00,5,1,False,False,True,True,0,0,0,0,0,0,0,0,0,0
Prometheus scrape interval went weird after the update.,2025-11-16T12:15:46.908741Z,NA,prometheus scrape interval went weird after the update,prometheu scrape interv went weird after the updat,2025-11-16 07:15:46.908741-05:00,6,7,False,False,True,True,0,0,0,0,0,0,0,0,0,0
The service mesh isn't applying the new routes.,2025-11-04T02:04:45.908741Z,NA,the service mesh isn t applying the new routes,the servic mesh is nt appli the new rout,2025-11-03 21:04:45.908741-05:00,0,21,True,False,False,True,0,0,0,0,0,0,0,0,0,0
this pipeline is being a total pain in the ass today,2025-11-24T12:37:21.908741Z,NA,this pipeline is being a total pain in the ass today,thi pipelin is be a total pain in the ass today,2025-11-24 07:37:21.908741-05:00,0,7,False,False,False,False,0,0,0,0,0,0,0,0,0,0
Triggering a manual rebuild now.,2025-11-25T14:33:13.908741Z,NA,triggering a manual rebuild now,trigger a manual rebuild now,2025-11-25 09:33:13.908741-05:00,1,9,False,False,False,False,0,0,0,0,0,0,0,0,0,0
Switching runners to isolate the failure. — also this pipeline is being a total pain in the ass today,2025-11-07T00:56:02.908741Z,NA,switching runners to isolate the failure also this pipeline is being a total pain in the ass today,switch runner to isol the failur also thi pipelin is be a total pain in the ass today,2025-11-06 19:56:02.908741-05:00,3,19,True,False,False,True,0,0,0,0,0,0,0,0,0,0
Rerunning the job with verbose logs.,2025-11-21T08:21:49.908741Z,NA,rerunning the job with verbose logs,rerun the job with verbos log,2025-11-21 03:21:49.908741-05:00,4,3,False,False,False,False,0,0,0,0,0,0,0,0,0,0
Startup checks failing on init container.,2025-10-25T04:00:59.908741Z,NA,startup checks failing on init container,startup check fail on init contain,2025-10-25 00:00:59.908741-04:00,5,0,False,False,True,True,0,0,0,0,0,0,0,0,0,0
I'm done pretending this cluster behaves normally,2025-11-13T16:33:24.908741Z,NA,i m done pretending this cluster behaves normally,i m done pretend thi cluster behav normal,2025-11-13 11:33:24.908741-05:00,3,11,False,False,False,False,0,0,0,0,0,0,0,0,0,0
Node pool autoscale didn't kick in during rollout.,2025-12-07T06:40:03.908741Z,NA,node pool autoscale didn t kick in during rollout,node pool autoscal did nt kick in dure rollout,2025-12-07 01:40:03.908741-05:00,6,1,False,False,True,True,0,0,0,0,0,0,0,0,0,0
CI runner is stuck in queued state again.,2025-11-20T21:44:20.908741Z,NA,ci runner is stuck in queued state again,ci runner is stuck in queu state again,2025-11-20 16:44:20.908741-05:00,3,16,False,False,False,False,0,0,0,0,0,0,0,0,0,0
Rerunning the job with verbose logs. — also the whole system is throwing tantrums,2025-11-26T05:27:40.908741Z,NA,rerunning the job with verbose logs also the whole system is throwing tantrums,rerun the job with verbos log also the whole system is throw tantrum,2025-11-26 00:27:40.908741-05:00,2,0,False,False,False,False,0,0,0,0,0,0,0,0,0,0
Reverting the last merge until we stabilize.,2025-11-17T22:56:04.908741Z,NA,reverting the last merge until we stabilize,revert the last merg until we stabil,2025-11-17 17:56:04.908741-05:00,0,17,True,False,False,True,0,0,0,0,0,0,0,0,0,0
We're seeing flaky integration tests again.,2025-11-15T04:08:17.908741Z,NA,we re seeing flaky integration tests again,we re see flaki integr test again,2025-11-14 23:08:17.908741-05:00,4,23,True,True,False,True,0,0,0,0,0,0,0,0,0,0
Node pool autoscale didn't kick in during rollout.,2025-12-06T08:41:54.908741Z,NA,node pool autoscale didn t kick in during rollout,node pool autoscal did nt kick in dure rollout,2025-12-06 03:41:54.908741-05:00,5,3,False,False,True,True,0,0,0,0,0,0,0,0,0,0
Bootstrap process missing the credentials file.,2025-11-27T04:01:10.908741Z,NA,bootstrap process missing the credentials file,bootstrap process miss the credenti file,2025-11-26 23:01:10.908741-05:00,2,23,True,False,False,True,0,0,0,0,0,0,0,0,0,0
Package checksum mismatch on remote node.,2025-10-27T10:15:05.908741Z,NA,package checksum mismatch on remote node,packag checksum mismatch on remot node,2025-10-27 06:15:05.908741-04:00,0,6,False,False,False,False,0,0,0,0,0,0,0,0,0,0
We're seeing flaky integration tests again.,2025-11-28T07:24:02.908741Z,NA,we re seeing flaky integration tests again,we re see flaki integr test again,2025-11-28 02:24:02.908741-05:00,4,2,False,False,False,False,0,0,0,0,0,0,0,0,0,0
"Triggering a manual rebuild now. Sorry, missed this earlier.",2025-11-15T12:16:35.908741Z,NA,triggering a manual rebuild now sorry missed this earlier,trigger a manual rebuild now sorri miss thi earlier,2025-11-15 07:16:35.908741-05:00,5,7,False,False,True,True,0,0,0,0,0,0,0,0,1,0
The deployment pipeline hung at the approval gate.,2025-11-18T05:54:12.908741Z,NA,the deployment pipeline hung at the approval gate,the deploy pipelin hung at the approv gate,2025-11-18 00:54:12.908741-05:00,1,0,False,False,False,False,0,0,0,0,0,0,0,0,0,0
someone pushed something stupid and now we're all paying for it,2025-11-30T18:16:50.908741Z,NA,someone pushed something stupid and now we re all paying for it,someon push someth stupid and now we re all pay for it,2025-11-30 13:16:50.908741-05:00,6,13,False,False,True,True,0,0,0,0,0,0,0,0,0,0
Rerunning the job with verbose logs.,2025-11-19T20:30:39.908741Z,NA,rerunning the job with verbose logs,rerun the job with verbos log,2025-11-19 15:30:39.908741-05:00,2,15,False,False,False,False,0,0,0,0,0,0,0,0,0,0
The deployment pipeline hung at the approval gate.,2025-11-09T05:30:08.908741Z,NA,the deployment pipeline hung at the approval gate,the deploy pipelin hung at the approv gate,2025-11-09 00:30:08.908741-05:00,6,0,False,False,True,True,0,0,0,0,0,0,0,0,0,0
The deployment pipeline hung at the approval gate.,2025-12-06T06:15:32.908741Z,NA,the deployment pipeline hung at the approval gate,the deploy pipelin hung at the approv gate,2025-12-06 01:15:32.908741-05:00,5,1,False,False,True,True,0,0,0,0,0,0,0,0,0,0
Container registry timed out for the fourth time.,2025-11-03T20:29:21.908741Z,NA,container registry timed out for the fourth time,contain registri time out for the fourth time,2025-11-03 15:29:21.908741-05:00,0,15,False,False,False,False,0,0,0,0,0,0,0,0,0,0
Container registry timed out for the fourth time.,2025-10-28T06:00:25.908741Z,NA,container registry timed out for the fourth time,contain registri time out for the fourth time,2025-10-28 02:00:25.908741-04:00,1,2,False,False,False,False,0,0,0,0,0,0,0,0,0,0
The Helm chart versioning is out of sync.,2025-10-27T21:14:01.908741Z,NA,the helm chart versioning is out of sync,the helm chart version is out of sync,2025-10-27 17:14:01.908741-04:00,0,17,True,False,False,True,0,0,0,0,0,0,0,0,0,0
The deployment pipeline hung at the approval gate.,2025-12-04T13:11:56.908741Z,NA,the deployment pipeline hung at the approval gate,the deploy pipelin hung at the approv gate,2025-12-04 08:11:56.908741-05:00,3,8,False,False,False,False,0,0,0,0,0,0,0,0,0,0
We have inconsistent checksum results in the artifact store.,2025-11-02T00:54:26.908741Z,NA,we have inconsistent checksum results in the artifact store,we have inconsist checksum result in the artifact store,2025-11-01 20:54:26.908741-04:00,5,20,True,False,True,True,0,0,0,0,0,0,0,0,0,0
We have inconsistent checksum results in the artifact store.,2025-11-04T15:32:36.908741Z,NA,we have inconsistent checksum results in the artifact store,we have inconsist checksum result in the artifact store,2025-11-04 10:32:36.908741-05:00,1,10,False,False,False,False,0,0,0,0,0,0,0,0,0,0
The deployment pipeline hung at the approval gate.,2025-11-24T00:45:49.908741Z,NA,the deployment pipeline hung at the approval gate,the deploy pipelin hung at the approv gate,2025-11-23 19:45:49.908741-05:00,6,19,True,False,True,True,0,0,0,0,0,0,0,0,0,0
Reverting the last merge until we stabilize.,2025-11-09T21:09:55.908741Z,NA,reverting the last merge until we stabilize,revert the last merg until we stabil,2025-11-09 16:09:55.908741-05:00,6,16,False,False,True,True,0,0,0,0,0,0,0,0,0,0
The service mesh isn't applying the new routes.,2025-11-10T01:02:02.908741Z,NA,the service mesh isn t applying the new routes,the servic mesh is nt appli the new rout,2025-11-09 20:02:02.908741-05:00,6,20,True,False,True,True,0,0,0,0,0,0,0,0,0,0
the artifact repo is acting like a diva — also this pipeline is being a total pain in the ass today,2025-11-11T15:33:04.908741Z,NA,the artifact repo is acting like a diva also this pipeline is being a total pain in the ass today,the artifact repo is act like a diva also thi pipelin is be a total pain in the ass today,2025-11-11 10:33:04.908741-05:00,1,10,False,False,False,False,0,0,0,0,0,0,0,0,0,0
Switching runners to isolate the failure.,2025-11-16T21:43:50.908741Z,NA,switching runners to isolate the failure,switch runner to isol the failur,2025-11-16 16:43:50.908741-05:00,6,16,False,False,True,True,0,0,0,0,0,0,0,0,0,0
Reverting the last merge until we stabilize.,2025-11-28T02:31:20.908741Z,NA,reverting the last merge until we stabilize,revert the last merg until we stabil,2025-11-27 21:31:20.908741-05:00,3,21,True,False,False,True,0,0,0,0,0,0,0,0,0,0
Pre-flight validation failed due to missing env vars.,2025-11-03T17:12:03.908741Z,NA,pre flight validation failed due to missing env vars,preflight valid fail due to miss env var,2025-11-03 12:12:03.908741-05:00,0,12,False,False,False,False,0,0,0,0,0,0,0,0,0,0
Container registry timed out for the fourth time.,2025-12-03T01:19:25.908741Z,NA,container registry timed out for the fourth time,contain registri time out for the fourth time,2025-12-02 20:19:25.908741-05:00,1,20,True,False,False,True,0,0,0,0,0,0,0,0,0,0
Rerunning the job with verbose logs.,2025-10-27T20:32:46.908741Z,NA,rerunning the job with verbose logs,rerun the job with verbos log,2025-10-27 16:32:46.908741-04:00,0,16,False,False,False,False,0,0,0,0,0,0,0,0,0,0
Triggering a manual rebuild now.,2025-11-22T18:38:50.908741Z,NA,triggering a manual rebuild now,trigger a manual rebuild now,2025-11-22 13:38:50.908741-05:00,5,13,False,False,True,True,0,0,0,0,0,0,0,0,0,0
Bootstrap process missing the credentials file.,2025-11-29T18:37:54.908741Z,NA,bootstrap process missing the credentials file,bootstrap process miss the credenti file,2025-11-29 13:37:54.908741-05:00,5,13,False,False,True,True,0,0,0,0,0,0,0,0,0,0
Rerunning the job with verbose logs.,2025-11-22T18:36:25.908741Z,NA,rerunning the job with verbose logs,rerun the job with verbos log,2025-11-22 13:36:25.908741-05:00,5,13,False,False,True,True,0,0,0,0,0,0,0,0,0,0
The service mesh isn't applying the new routes.,2025-11-10T09:50:13.908741Z,NA,the service mesh isn t applying the new routes,the servic mesh is nt appli the new rout,2025-11-10 04:50:13.908741-05:00,0,4,False,False,False,False,0,0,0,0,0,0,0,0,0,0
the deployment script is drunk again,2025-10-28T05:51:49.908741Z,NA,the deployment script is drunk again,the deploy script is drunk again,2025-10-28 01:51:49.908741-04:00,1,1,False,False,False,False,0,0,0,0,0,0,0,0,0,0
I'm done pretending this cluster behaves normally,2025-11-24T17:32:49.908741Z,NA,i m done pretending this cluster behaves normally,i m done pretend thi cluster behav normal,2025-11-24 12:32:49.908741-05:00,0,12,False,False,False,False,0,0,0,0,0,0,0,0,0,0
The service mesh isn't applying the new routes.,2025-12-01T13:10:05.908741Z,NA,the service mesh isn t applying the new routes,the servic mesh is nt appli the new rout,2025-12-01 08:10:05.908741-05:00,0,8,False,False,False,False,0,0,0,0,0,0,0,0,0,0
The Helm chart versioning is out of sync. — also this pipeline is being a total pain in the ass today,2025-12-01T08:51:55.908741Z,NA,the helm chart versioning is out of sync also this pipeline is being a total pain in the ass today,the helm chart version is out of sync also thi pipelin is be a total pain in the ass today,2025-12-01 03:51:55.908741-05:00,0,3,False,False,False,False,0,0,0,0,0,0,0,0,0,0
